0,1,2
<s>,i,want
i,want,it
want,it,off
it,off,<\s>
<s>,last,time
last,time,<\s>
<s>,i,want
i,want,it
want,it,off
it,off,last
off,last,time
last,time,<\s>
<s>,i,want
i,want,it
want,it,off
it,off,last
off,last,time
last,time,<\s>
<s>,last,time
last,time,<\s>
<s>,i,want
i,want,it
want,it,off
it,off,last
off,last,time
last,time,lady
time,lady,<\s>
<s>,oh,<\s>
<s>,a,diesel
a,diesel,train
diesel,train,<\s>
<s>,that,one
that,one,<\s>
<s>,that,thomas
that,thomas,<\s>
<s>,that,percy
that,percy,<\s>
<s>,james,<\s>
<s>,bar,<\s>
<s>,bar,mhm
bar,mhm,bar
mhm,bar,<\s>
<s>,that,<\s>
<s>,i,build
i,build,house
build,house,<\s>
<s>,i,build
i,build,a
build,a,house
a,house,a
house,a,xxx
a,xxx,<\s>
<s>,i,build
i,build,it
build,it,<\s>
<s>,that,a
that,a,dolly
a,dolly,<\s>
<s>,go,sit
go,sit,on
sit,on,my
on,my,boat
my,boat,now
boat,now,<\s>
<s>,go,sit
go,sit,there
sit,there,<\s>
<s>,go,sit
go,sit,there
sit,there,<\s>
<s>,yeah,<\s>
<s>,yeah,<\s>
<s>,i,go
i,go,sit
go,sit,on
sit,on,there
on,there,<\s>
<s>,no,<\s>
<s>,that,a
that,a,boat
a,boat,<\s>
<s>,that,a
that,a,boat
a,boat,<\s>
<s>,that,a
that,a,fence
a,fence,<\s>
<s>,yeah,<\s>
<s>,yeah,<\s>
<s>,there,fence
there,fence,<\s>
<s>,it,a
it,a,garden
a,garden,<\s>
<s>,go,in
go,in,there
in,there,<\s>
<s>,xxx,<\s>
<s>,put,it
put,it,in
it,in,there
in,there,<\s>
<s>,put,it
put,it,in
it,in,there
in,there,<\s>
<s>,a,horse
a,horse,<\s>
<s>,the,horse
the,horse,<\s>
<s>,the,horse
the,horse,<\s>
<s>,the,horse
the,horse,go
horse,go,in
go,in,there
in,there,<\s>
<s>,in,there
in,there,<\s>
<s>,in,there
in,there,<\s>
<s>,in,there
in,there,<\s>
<s>,it,a
it,a,giraffe
a,giraffe,<\s>
<s>,it,sit
it,sit,in
sit,in,the
in,the,train
the,train,<\s>
<s>,yeah,<\s>
<s>,yeah,<\s>
<s>,my,house
my,house,away
house,away,<\s>
<s>,xxx,i
xxx,i,get
i,get,<\s>
<s>,that,a
that,a,little
a,little,one
little,one,<\s>
<s>,no,<\s>
<s>,lady,take
lady,take,it
take,it,away
it,away,<\s>
<s>,lady,take
lady,take,it
take,it,away
it,away,<\s>
<s>,lady,put
lady,put,it
put,it,in
it,in,in
in,in,the
in,the,box
the,box,<\s>
<s>,toy,<\s>
<s>,that,xxx
that,xxx,<\s>
<s>,i,play
i,play,with
play,with,this
with,this,<\s>
<s>,no,<\s>
<s>,i,play
i,play,with
play,with,this
with,this,<\s>
<s>,no,<\s>
<s>,no,<\s>
<s>,yeah,<\s>
<s>,it,bit
it,bit,hot
bit,hot,<\s>
<s>,yeah,<\s>
<s>,windy,<\s>
<s>,it,windy
it,windy,<\s>
<s>,yeah,<\s>
<s>,it,mine
it,mine,<\s>
<s>,last,week
last,week,<\s>
<s>,last,week
last,week,<\s>
<s>,last,week
last,week,<\s>
<s>,daddy,gone
daddy,gone,work
gone,work,<\s>
<s>,gone,pick
gone,pick,truck
pick,truck,up
truck,up,<\s>
<s>,daddy,daddy
daddy,daddy,gone
daddy,gone,beach
gone,beach,<\s>
<s>,gone,work
gone,work,<\s>
<s>,bought,a
bought,a,truck
a,truck,<\s>
<s>,it,all_gone
it,all_gone,now
all_gone,now,<\s>
<s>,a,<\s>
<s>,a,baby
a,baby,<\s>
<s>,xxx,<\s>
<s>,ring,<\s>
<s>,no,<\s>
<s>,it,green
it,green,<\s>
<s>,green,<\s>
<s>,yeah,<\s>
<s>,yeah,<\s>
<s>,move,it
move,it,over
it,over,there
over,there,<\s>
<s>,move,it
move,it,over
it,over,there
over,there,<\s>
<s>,three,<\s>
<s>,that,one
that,one,not
one,not,work
not,work,<\s>
<s>,this,one
this,one,<\s>
<s>,it,that
it,that,one
that,one,<\s>
<s>,it,fit
it,fit,on
fit,on,<\s>
<s>,that,<\s>
<s>,five,<\s>
<s>,green,<\s>
<s>,that,<\s>
<s>,that,one
that,one,fit
one,fit,<\s>
<s>,that,not
that,not,fit
not,fit,<\s>
<s>,ahhah,<\s>
<s>,that,not
that,not,fit
not,fit,on
fit,on,there
on,there,<\s>
<s>,no,<\s>
<s>,that,a
that,a,green
a,green,one
green,one,<\s>
<s>,oh,<\s>
<s>,that,<\s>
<s>,not,on
not,on,that
on,that,<\s>
<s>,that,not
that,not,fit
not,fit,on
fit,on,my
on,my,hand
my,hand,<\s>
<s>,no,<\s>
<s>,that,no
that,no,<\s>
<s>,this,another
this,another,one
another,one,<\s>
<s>,xxx,<\s>
<s>,that,fit
that,fit,on
fit,on,my
on,my,hand
my,hand,<\s>
<s>,that,one
that,one,<\s>
<s>,other,two
other,two,<\s>
<s>,no,<\s>
<s>,armband,<\s>
<s>,a,<\s>
<s>,no,<\s>
<s>,oh,<\s>
<s>,down,<\s>
<s>,that,one
that,one,<\s>
<s>,oh,<\s>
<s>,i,put
i,put,it
put,it,on
it,on,<\s>
<s>,no,<\s>
<s>,the,green
the,green,one
green,one,<\s>
<s>,that,the
that,the,red
the,red,one
red,one,<\s>
<s>,that,big
that,big,<\s>
<s>,all_gone,now
all_gone,now,<\s>
<s>,i,can
i,can,put
can,put,it
put,it,in
it,in,there
in,there,<\s>
<s>,no,<\s>
<s>,train,<\s>
<s>,put,it
put,it,in
it,in,there
in,there,<\s>
<s>,this,go
this,go,in
go,in,the
in,the,train
the,train,<\s>
<s>,in,there
in,there,<\s>
<s>,in,there
in,there,<\s>
<s>,go,on
go,on,<\s>
<s>,xxx,<\s>
<s>,he,go
he,go,<\s>
<s>,go,in
go,in,<\s>
<s>,i,make
i,make,a
make,a,garden
a,garden,<\s>
<s>,yeah,<\s>
<s>,yeah,<\s>
<s>,hen,<\s>
<s>,hen,<\s>
<s>,hen,<\s>
<s>,a,hen
a,hen,big
hen,big,<\s>
<s>,go,in
go,in,there
in,there,<\s>
<s>,cluck,cluck
cluck,cluck,in
cluck,in,there
in,there,<\s>
<s>,giraffe,<\s>
<s>,giraffe,<\s>
<s>,there,<\s>
<s>,xxx,<\s>
<s>,it,a
it,a,pig
a,pig,<\s>
<s>,go,in
go,in,there
in,there,<\s>
<s>,hop,hop
hop,hop,hop
hop,hop,in
hop,in,<\s>
<s>,hop,in
hop,in,there
in,there,<\s>
<s>,get,out
get,out,<\s>
<s>,giraffe,get
giraffe,get,out
get,out,<\s>
<s>,a,horse
a,horse,<\s>
<s>,hop,in
hop,in,there
in,there,<\s>
<s>,hop,in
hop,in,there
in,there,<\s>
<s>,it,a
it,a,hen
a,hen,<\s>
<s>,fit,in
fit,in,there
in,there,<\s>
<s>,it,animal
it,animal,<\s>
<s>,a,bull
a,bull,<\s>
<s>,a,hen
a,hen,<\s>
<s>,yeah,<\s>
<s>,i,can't
i,can't,find
can't,find,it
find,it,<\s>
<s>,live,in
live,in,there
in,there,<\s>
<s>,yeah,<\s>
<s>,a,hen
a,hen,<\s>
<s>,what,that
what,that,noise
that,noise,<\s>
<s>,mummy,<\s>
<s>,hold,that
hold,that,<\s>
<s>,monkey,<\s>
<s>,monkey,<\s>
<s>,that,go
that,go,in
go,in,there
in,there,<\s>
<s>,no,<\s>
<s>,yeah,<\s>
<s>,that,go
that,go,in
go,in,there
in,there,<\s>
<s>,yeah,<\s>
<s>,no,<\s>
<s>,this,in
this,in,there
in,there,<\s>
<s>,yeah,<\s>
<s>,no,<\s>
<s>,no,<\s>
<s>,go,there
go,there,<\s>
<s>,go,there
go,there,lion
there,lion,<\s>
<s>,go,in
go,in,there
in,there,<\s>
<s>,stick,it
stick,it,on
it,on,<\s>
<s>,i,stick
i,stick,it
stick,it,on
it,on,<\s>
<s>,a,big
a,big,fish
big,fish,<\s>
<s>,no,<\s>
<s>,no,<\s>
<s>,a,mummy
a,mummy,<\s>
<s>,xxx,<\s>
<s>,no,<\s>
<s>,put,it
put,it,there
it,there,<\s>
<s>,put,it
put,it,in
it,in,in
in,in,the
in,the,water
the,water,<\s>
<s>,need,water
need,water,<\s>
<s>,stop,now
stop,now,<\s>
<s>,stop,now
stop,now,<\s>
<s>,they,like
they,like,hippo
like,hippo,<\s>
<s>,mhm,<\s>
<s>,yes,i
yes,i,can
i,can,<\s>
<s>,got,a
got,a,xxx
a,xxx,<\s>
<s>,that,way
that,way,<\s>
<s>,oh,in
oh,in,in
in,in,the
in,the,water
the,water,<\s>
<s>,throw,in
throw,in,in
in,in,the
in,the,water
the,water,<\s>
<s>,i,got
i,got,monkey
got,monkey,there
monkey,there,<\s>
<s>,no,<\s>
<s>,my,back
my,back,<\s>
<s>,no,<\s>
<s>,a,<\s>
<s>,eat,<\s>
<s>,that,eat
that,eat,the
eat,the,floor
the,floor,<\s>
<s>,one,<\s>
<s>,duck,eat
duck,eat,the
eat,the,floor
the,floor,<\s>
<s>,duck,eat
duck,eat,<\s>
<s>,duck,eat
duck,eat,the
eat,the,floor
the,floor,one
floor,one,<\s>
<s>,it,eat
it,eat,it
eat,it,up
it,up,<\s>
<s>,eat,it
eat,it,up
it,up,<\s>
<s>,no,<\s>
<s>,xxx,<\s>
<s>,sit,in
sit,in,in
in,in,car
in,car,<\s>
<s>,one,over
one,over,there
over,there,<\s>
<s>,that,one
that,one,<\s>
<s>,there,<\s>
<s>,not,got
not,got,a
got,a,dress
a,dress,<\s>
<s>,not,got
not,got,dress
got,dress,<\s>
<s>,it,stuck
it,stuck,<\s>
<s>,it,stuck
it,stuck,<\s>
<s>,coat,<\s>
<s>,that,<\s>
<s>,yeah,<\s>
<s>,the,big
the,big,shop
big,shop,<\s>
<s>,yeah,<\s>
<s>,there,that
there,that,shop
that,shop,<\s>
<s>,that,a
that,a,door
a,door,<\s>
<s>,banana,<\s>
<s>,banana,<\s>
<s>,yeah,<\s>
<s>,go,out
go,out,<\s>
<s>,go,out
go,out,<\s>
<s>,ringading,<\s>
<s>,i,shut
i,shut,door
shut,door,<\s>
<s>,got,a
got,a,hole
a,hole,in
hole,in,<\s>
<s>,let,sit
let,sit,in
sit,in,there
in,there,<\s>
<s>,i,can't
i,can't,sit
can't,sit,in
sit,in,there
in,there,<\s>
<s>,lady,take
lady,take,that
take,that,car
that,car,away
car,away,<\s>
<s>,got,my
got,my,toy
my,toy,<\s>
<s>,you,share
you,share,you
share,you,share
you,share,them
share,them,with
them,with,other
with,other,boys
other,boys,and
boys,and,girls
and,girls,don't
girls,don't,you
don't,you,<\s>
<s>,yeah,<\s>
<s>,no,<\s>
<s>,put,it
put,it,in
it,in,there
in,there,<\s>
<s>,put,in
put,in,that
in,that,door
that,door,<\s>
<s>,put,in
put,in,that
in,that,door
that,door,<\s>
<s>,that,a
that,a,neenaw
a,neenaw,go
neenaw,go,in
go,in,<\s>
<s>,a,neenaw
a,neenaw,<\s>
<s>,it's,a
it's,a,neenaw
a,neenaw,gone
neenaw,gone,there
gone,there,<\s>
<s>,it,not
it,not,postman_pat
not,postman_pat,<\s>
<s>,not,milkman
not,milkman,<\s>
<s>,put,it
put,it,in
it,in,that
in,that,door
that,door,<\s>
<s>,there,<\s>
<s>,lock,it
lock,it,up
it,up,<\s>
<s>,key,<\s>
<s>,no,<\s>
<s>,no,<\s>
<s>,yeah,<\s>
<s>,that,car
that,car,<\s>
<s>,that,a
that,a,boat
a,boat,<\s>
<s>,put,that
put,that,there
that,there,<\s>
<s>,put,on
put,on,<\s>
<s>,put,it
put,it,on
it,on,<\s>
<s>,put,it
put,it,on
it,on,<\s>
<s>,yeah,<\s>
<s>,on,<\s>
<s>,yeah,<\s>
<s>,this,go
this,go,there
go,there,<\s>
<s>,truck,go
truck,go,in
go,in,there
in,there,<\s>
<s>,car,get
car,get,some
get,some,<\s>
<s>,have,put
have,put,car
put,car,in
car,in,there
in,there,<\s>
<s>,have,put
have,put,<\s>
<s>,yeah,<\s>
<s>,yeah,<\s>
<s>,yes,<\s>
<s>,i,put
i,put,it
put,it,in
it,in,in
in,in,the
in,the,garage
the,garage,<\s>
<s>,yeah,<\s>
<s>,mhm,<\s>
<s>,the,top
the,top,come
top,come,off
come,off,<\s>
<s>,put,it
put,it,on
it,on,<\s>
<s>,get,in
get,in,in
in,in,the
in,the,car
the,car,<\s>
<s>,go,in
go,in,the
in,the,garage
the,garage,<\s>
<s>,i,put
i,put,it
put,it,in
it,in,the
in,the,bed
the,bed,<\s>
<s>,little,bit
little,bit,<\s>
<s>,a,little
a,little,bit
little,bit,<\s>
<s>,yeah,<\s>
<s>,that,go
that,go,in
go,in,in
in,in,the
in,the,garage
the,garage,<\s>
<s>,it,xxx
it,xxx,<\s>
<s>,that,horn
that,horn,again
horn,again,<\s>
<s>,brumm,<\s>
<s>,go,in
go,in,<\s>
<s>,bring,the
bring,the,car
the,car,in
car,in,<\s>
<s>,bring,car
bring,car,in
car,in,<\s>
<s>,bring,the
bring,the,car
the,car,in
car,in,<\s>
<s>,i,drive
i,drive,it
drive,it,<\s>
<s>,i,put
i,put,it
put,it,in
it,in,mummy
in,mummy,<\s>
<s>,i,get
i,get,in
get,in,<\s>
<s>,i,get
i,get,in
get,in,car
in,car,<\s>
<s>,in,the
in,the,car
the,car,<\s>
<s>,have,the
have,the,car
the,car,<\s>
<s>,have,the
have,the,car
the,car,<\s>
<s>,he,have
he,have,that
have,that,top
that,top,<\s>
<s>,have,that
have,that,<\s>
<s>,yeah,<\s>
<s>,that,go
that,go,in
go,in,<\s>
<s>,bus,in
bus,in,<\s>
<s>,truck,gone
truck,gone,in
gone,in,now
in,now,<\s>
<s>,gone,in
gone,in,now
in,now,<\s>
<s>,truck,won't
truck,won't,willn't
won't,willn't,go
willn't,go,<\s>
<s>,the,truck
the,truck,won't
truck,won't,willn't
won't,willn't,go
willn't,go,in
go,in,<\s>
<s>,i,put
i,put,the
put,the,bus
the,bus,in
bus,in,<\s>
<s>,it,lock
it,lock,<\s>
<s>,yeah,<\s>
<s>,i,put
i,put,those
put,those,in
those,in,<\s>
<s>,a,digger
a,digger,over
digger,over,there
over,there,<\s>
<s>,xxx,<\s>
<s>,go,xxx
go,xxx,<\s>
<s>,go,xxx
go,xxx,<\s>
<s>,xxx,<\s>
<s>,have,go
have,go,there
go,there,<\s>
<s>,xxx,<\s>
<s>,have,go
have,go,breakdown
go,breakdown,truck
breakdown,truck,<\s>
<s>,i,put
i,put,there
put,there,<\s>
<s>,i,put
i,put,the
put,the,house
the,house,<\s>
<s>,i,put
i,put,tractor
put,tractor,there
tractor,there,<\s>
<s>,three,<\s>
<s>,i,put
i,put,tractor
put,tractor,there
tractor,there,<\s>
<s>,another,tractor
another,tractor,<\s>
<s>,man,got
man,got,out
got,out,<\s>
<s>,yeah,<\s>
<s>,what,that
what,that,noise
that,noise,<\s>
<s>,again,<\s>
<s>,i,got
i,got,i
got,i,got
i,got,xxx
got,xxx,<\s>
<s>,bucket,<\s>
<s>,it,bath
it,bath,time
bath,time,now
time,now,<\s>
<s>,xxx,<\s>
<s>,no,<\s>
<s>,here,<\s>
<s>,here,<\s>
<s>,no,<\s>
<s>,yeah,<\s>
<s>,no,<\s>
<s>,kangaroo,<\s>
<s>,that,<\s>
<s>,i,jump
i,jump,a
jump,a,kangaroo
a,kangaroo,<\s>
<s>,that,door
that,door,<\s>
<s>,i,jump
i,jump,that
jump,that,door
that,door,<\s>
<s>,i,kangaroo
i,kangaroo,<\s>
<s>,i,jump
i,jump,<\s>
<s>,i,jump
i,jump,<\s>
<s>,here,<\s>
<s>,yeah,<\s>
<s>,i,kangaroo
i,kangaroo,<\s>
<s>,i,jump
i,jump,<\s>
<s>,i,jump
i,jump,<\s>
<s>,yeah,<\s>
<s>,yeah,<\s>
<s>,catch,<\s>
<s>,i,bang
i,bang,my
bang,my,hair
my,hair,<\s>
<s>,mhm,<\s>
<s>,there,knee
there,knee,<\s>
<s>,throw,it
throw,it,back
it,back,<\s>
<s>,yeah,<\s>
<s>,there,<\s>
<s>,it,out
it,out,there
out,there,<\s>
<s>,my,bike
my,bike,out
bike,out,there
out,there,<\s>
<s>,it,out
it,out,there
out,there,<\s>
<s>,i,can
i,can,ride
can,ride,it
ride,it,<\s>
<s>,no,<\s>
<s>,throw,it
throw,it,back
it,back,<\s>
<s>,that,<\s>
<s>,yeah,<\s>
<s>,i,i
i,i,hold
i,hold,on
hold,on,that
on,that,<\s>
<s>,i,hold
i,hold,on
hold,on,it
on,it,<\s>
<s>,what,that
what,that,noise
that,noise,<\s>
<s>,yeah,<\s>
<s>,i,see
i,see,one
see,one,on
one,on,saturday
on,saturday,<\s>
<s>,i,see
i,see,one
see,one,on
one,on,saturday
on,saturday,<\s>
<s>,kangaroo,<\s>
<s>,no,<\s>
<s>,duck,swim
duck,swim,<\s>
<s>,duck,swim
duck,swim,<\s>
<s>,got,pen
got,pen,<\s>
<s>,got,toys
got,toys,<\s>
<s>,i,put
i,put,my
put,my,feet
my,feet,on
feet,on,floor
on,floor,<\s>
<s>,i,just
i,just,got
just,got,out
got,out,<\s>
<s>,yeah,<\s>
<s>,i,just
i,just,got
just,got,out
got,out,one
out,one,<\s>
<s>,yeah,<\s>
<s>,yeah,<\s>
<s>,just,jump
just,jump,in
jump,in,<\s>
<s>,yeah,<\s>
<s>,no,<\s>
<s>,close,the
close,the,gate
the,gate,<\s>
<s>,those,gate
those,gate,there
gate,there,<\s>
<s>,that,a
that,a,door
a,door,<\s>
<s>,can,go
can,go,out
go,out,<\s>
<s>,some,toys
some,toys,<\s>
<s>,little,choc_choc
little,choc_choc,<\s>
<s>,i,eat
i,eat,all
eat,all,up
all,up,<\s>
<s>,do,give
do,give,one
give,one,up
one,up,<\s>
<s>,do,give
do,give,one
give,one,boy
one,boy,<\s>
<s>,yeah,<\s>
<s>,i,can
i,can,i
can,i,can
i,can,i
can,i,can
i,can,climb
can,climb,up
climb,up,there
up,there,<\s>
<s>,i,try
i,try,get
try,get,up
get,up,<\s>
<s>,i,try
i,try,get
try,get,up
get,up,<\s>
<s>,it,a
it,a,snowman
a,snowman,<\s>
<s>,xxx,<\s>
<s>,yeah,<\s>
<s>,christmas,tree
christmas,tree,<\s>
<s>,a,tree
a,tree,<\s>
<s>,it,my
it,my,teddy
my,teddy,<\s>
<s>,it,<\s>
<s>,it,live
it,live,in
live,in,my
in,my,bed
my,bed,<\s>
<s>,yeah,<\s>
<s>,i,have
i,have,got
have,got,one
got,one,<\s>
<s>,aran,tell
aran,tell,me
tell,me,<\s>
<s>,it,tell
it,tell,me
tell,me,<\s>
<s>,oh,yeah
oh,yeah,<\s>
<s>,teddy,<\s>
<s>,teddy,up
teddy,up,there
up,there,<\s>
<s>,got,eyes
got,eyes,<\s>
<s>,a,tie
a,tie,<\s>
<s>,yeah,<\s>
<s>,no,<\s>
<s>,i,want
i,want,teddy
want,teddy,bear
teddy,bear,<\s>
<s>,yeah,<\s>
<s>,there,<\s>
<s>,there,<\s>
<s>,mummy,<\s>
<s>,mummy,<\s>
<s>,mummy,<\s>
<s>,i,want
i,want,<\s>
<s>,a,<\s>
<s>,i,want
i,want,nurse
want,nurse,ted
nurse,ted,<\s>
<s>,yeah,<\s>
<s>,i,want
i,want,nurse
want,nurse,teddy
nurse,teddy,<\s>
<s>,yeah,<\s>
<s>,i,can
i,can,sit
can,sit,down
sit,down,<\s>
<s>,postman_pat,<\s>
<s>,put,all
put,all,letter
all,letter,in
letter,in,there
in,there,<\s>
<s>,the,cat
the,cat,<\s>
<s>,jess,<\s>
<s>,got,a
got,a,cat
a,cat,<\s>
<s>,have,cup
have,cup,tea
cup,tea,<\s>
<s>,i,want
i,want,go
want,go,on
go,on,my
on,my,boat
my,boat,<\s>
<s>,those,my
those,my,digger
my,digger,<\s>
<s>,my,tractor
my,tractor,<\s>
<s>,i,want
i,want,that
want,that,one
that,one,<\s>
<s>,it,that
it,that,one
that,one,<\s>
<s>,that,<\s>
<s>,just,that
just,that,<\s>
<s>,that,<\s>
<s>,oh,no
oh,no,<\s>
<s>,daddy,repaired
daddy,repaired,it
repaired,it,<\s>
<s>,it,off
it,off,<\s>
<s>,i,must
i,must,get
must,get,a
get,a,tractor
a,tractor,<\s>
<s>,this,go
this,go,on
go,on,there
on,there,<\s>
<s>,where,it
where,it,<\s>
<s>,where,it
where,it,<\s>
<s>,oh,there
oh,there,it
there,it,is
it,is,<\s>
<s>,xxx,<\s>
<s>,wheel,go
wheel,go,round
go,round,and
round,and,round
and,round,<\s>
<s>,a,man
a,man,<\s>
<s>,that,man
that,man,<\s>
<s>,i,got
i,got,man
got,man,<\s>
<s>,xxx,<\s>
<s>,van,<\s>
<s>,i,got
i,got,postman_pat
got,postman_pat,in
postman_pat,in,in
in,in,the
in,the,car
the,car,<\s>
<s>,yeah,<\s>
<s>,xxx,<\s>
<s>,where,it
where,it,<\s>
<s>,that,neenaw
that,neenaw,station
neenaw,station,<\s>
<s>,there,it
there,it,is
it,is,<\s>
<s>,neenaw,neenaw
neenaw,neenaw,neenaw
neenaw,neenaw,<\s>
<s>,in,my
in,my,toy
my,toy,box
toy,box,<\s>
<s>,where,<\s>
<s>,floor,<\s>
<s>,floor,<\s>
<s>,i,want
i,want,look
want,look,<\s>
<s>,i,want
i,want,look
want,look,<\s>
<s>,i,get
i,get,hammer
get,hammer,<\s>
<s>,i,got
i,got,my
got,my,hammer
my,hammer,<\s>
<s>,bang,those
bang,those,<\s>
<s>,yeah,<\s>
<s>,i,throw
i,throw,it
throw,it,on
it,on,there
on,there,<\s>
<s>,that,<\s>
<s>,it,got
it,got,a
got,a,face
a,face,<\s>
<s>,it,the
it,the,king
the,king,<\s>
<s>,it,lady
it,lady,<\s>
<s>,it,<\s>
<s>,no,<\s>
<s>,it,this
it,this,<\s>
<s>,it,this
it,this,<\s>
<s>,it,hammer
it,hammer,<\s>
<s>,this,hammer
this,hammer,got
hammer,got,dirty
got,dirty,<\s>
<s>,i,put
i,put,it
put,it,on
it,on,<\s>
<s>,that,one
that,one,<\s>
<s>,it,green
it,green,<\s>
<s>,green,<\s>
<s>,that,it
that,it,<\s>
<s>,that,it
that,it,<\s>
<s>,put,away
put,away,<\s>
<s>,a,<\s>
<s>,i,play
i,play,that
play,that,<\s>
<s>,xxx,<\s>
<s>,xxx,<\s>
<s>,that,go
that,go,on
go,on,humpty
on,humpty,<\s>
<s>,that,go
that,go,on
go,on,humpty
on,humpty,<\s>
<s>,that,one
that,one,hard
one,hard,<\s>
<s>,that,what
that,what,that
what,that,<\s>
<s>,oh,yeah
oh,yeah,<\s>
<s>,mummy,mummy
mummy,mummy,got
mummy,got,one
got,one,<\s>
<s>,cut,mice
cut,mice,down
mice,down,<\s>
<s>,what,that
what,that,bird
that,bird,out
bird,out,there
out,there,<\s>
<s>,bird,<\s>
<s>,there,one
there,one,over
one,over,there
over,there,<\s>
<s>,one,there
one,there,<\s>
<s>,yeah,<\s>
<s>,one,there
one,there,<\s>
<s>,oh,yeah
oh,yeah,<\s>
<s>,gone,now
gone,now,<\s>
<s>,yeah,<\s>
<s>,yeah,<\s>
<s>,got,<\s>
<s>,floor,<\s>
<s>,yeah,<\s>
<s>,for,din_din
for,din_din,<\s>
<s>,yeah,<\s>
<s>,yeah,<\s>
<s>,i,want
i,want,climb
want,climb,<\s>
<s>,i,want
i,want,climb
want,climb,up
climb,up,there
up,there,<\s>
<s>,i,want
i,want,climb
want,climb,up
climb,up,here
up,here,<\s>
<s>,i,climb
i,climb,up
climb,up,yeah
up,yeah,<\s>
<s>,yeah,<\s>
<s>,yeah,i
yeah,i,fall
i,fall,<\s>
<s>,i,hurt
i,hurt,my
hurt,my,knee
my,knee,<\s>
<s>,on,floor
on,floor,<\s>
<s>,today,<\s>
<s>,i,try
i,try,get
try,get,up
get,up,there
up,there,<\s>
<s>,no,<\s>
<s>,the,gate
the,gate,shut
gate,shut,<\s>
<s>,what,that
what,that,one
that,one,do
one,do,<\s>
<s>,that,one
that,one,there
one,there,<\s>
<s>,yeah,<\s>
<s>,he,go
he,go,on
go,on,there
on,there,<\s>
<s>,that,mummy
that,mummy,bird
mummy,bird,<\s>
<s>,flys,<\s>
<s>,up,there
up,there,<\s>
<s>,one,fly
one,fly,<\s>
<s>,one,does
one,does,one
does,one,does
one,does,fly
does,fly,<\s>
<s>,one,does
one,does,fly
does,fly,away
fly,away,<\s>
<s>,yeah,<\s>
<s>,what,that
what,that,out
that,out,there
out,there,<\s>
<s>,that,out
that,out,there
out,there,<\s>
<s>,i,get
i,get,it
get,it,<\s>
<s>,that,lady
that,lady,not
lady,not,gone
not,gone,<\s>
<s>,there,<\s>
<s>,whee,<\s>
<s>,go,up
go,up,there
up,there,<\s>
<s>,out,there
out,there,<\s>
<s>,there,some
there,some,bee
some,bee,out
bee,out,there
out,there,<\s>
<s>,i,fly
i,fly,away
fly,away,<\s>
<s>,no,<\s>
<s>,lady,lady
lady,lady,not
lady,not,see
not,see,those
see,those,<\s>
<s>,i,can
i,can,see
can,see,<\s>
<s>,yeah,<\s>
<s>,some,rose
some,rose,<\s>
<s>,some,rose
some,rose,<\s>
<s>,there,<\s>
<s>,cut,rose
cut,rose,<\s>
<s>,cut,those
cut,those,back
those,back,<\s>
<s>,xxx,<\s>
<s>,in,there
in,there,<\s>
<s>,xxx,<\s>
<s>,have,it
have,it,<\s>
<s>,xxx,<\s>
<s>,it,down
it,down,the
down,the,bank
the,bank,<\s>
<s>,that,there
that,there,<\s>
<s>,what,that
what,that,knife
that,knife,<\s>
<s>,it,<\s>
<s>,cut,the
cut,the,mice
the,mice,down
mice,down,<\s>
<s>,it,mine
it,mine,<\s>
<s>,my,knife
my,knife,gone
knife,gone,tea
gone,tea,<\s>
<s>,where,my
where,my,knife
my,knife,<\s>
<s>,yeah,<\s>
<s>,i,go
i,go,get
go,get,it
get,it,<\s>
<s>,where,it
where,it,<\s>
<s>,yeah,<\s>
<s>,i,want
i,want,cut
want,cut,tail
cut,tail,off
tail,off,<\s>
<s>,i,want
i,want,i
want,i,want
i,want,cut
want,cut,tail
cut,tail,off
tail,off,a
off,a,carving
a,carving,knife
carving,knife,<\s>
<s>,yeah,<\s>
<s>,i,cut
i,cut,tail
cut,tail,off
tail,off,again
off,again,<\s>
<s>,i,want
i,want,<\s>
<s>,i,nurse
i,nurse,that
nurse,that,<\s>
<s>,i,nurse
i,nurse,<\s>
<s>,it,the
it,the,king
the,king,<\s>
<s>,a,crown
a,crown,<\s>
<s>,i,got
i,got,a
got,a,nose
a,nose,off
nose,off,<\s>
<s>,yeah,<\s>
<s>,i,got
i,got,one
got,one,<\s>
<s>,got,one
got,one,<\s>
<s>,got,one
got,one,<\s>
<s>,got,a
got,a,carving
a,carving,knife
carving,knife,<\s>
<s>,i,got
i,got,one
got,one,there
one,there,<\s>
<s>,and,the
and,the,mice
the,mice,run
mice,run,<\s>
<s>,cut,off
cut,off,<\s>
<s>,yeah,<\s>
<s>,i,have
i,have,got
have,got,a
got,a,knife
a,knife,<\s>
<s>,yeah,<\s>
<s>,get,me
get,me,<\s>
<s>,a,carving
a,carving,knife
carving,knife,<\s>
<s>,that,the
that,the,bird
the,bird,<\s>
<s>,the,black
the,black,got
black,got,<\s>
<s>,eat,it
eat,it,up
it,up,<\s>
<s>,baa,<\s>
<s>,let,me
let,me,<\s>
<s>,let,me
let,me,<\s>
<s>,let,me
let,me,<\s>
<s>,that,mark
that,mark,<\s>
<s>,i,have
i,have,got
have,got,syrup
got,syrup,<\s>
<s>,cut,xxx
cut,xxx,<\s>
<s>,i,cut
i,cut,head
cut,head,off
head,off,<\s>
<s>,i,cut
i,cut,arm
